Cluster,Analysis,Backdoor,Bot,DDoS,DoS,DoS GoldenEye,DoS Hulk,DoS SlowHTTPTest,DoS Slowloris,Exploits,FTP Patator,Fuzzers,Generic,Heartbleed,Infiltration,Normal,Port Scan,Reconnaissance,SSH Patator,Shellcode,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS,Worms
Cluster 199,0,0,0,0,0,0,3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 2,0,0,0,0,0,0,8637,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,0
Cluster 200,0,1,0,0,1,0,0,0,0,161,0,1,1,0,0,0,0,4,0,0,0,0,0,1
Cluster 201,0,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 202,0,0,0,0,0,0,6770,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,0
Cluster 204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3458,0,0,0,0,0,0,0,0
Cluster 205,0,0,0,0,0,0,0,0,0,0,2781,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0
Cluster 207,0,0,0,0,0,0,14154,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster 208,0,0,0,0,3,0,0,0,0,0,0,1,169,0,0,0,0,0,0,0,0,0,0,0
Cluster 209,0,0,0,0,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 21,0,0,0,0,0,0,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 210,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster 211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0
